,case title,judges name(s),date of judgment,citation,issues,decision,cited cases
924,Ghanshyam And Ors. vs State Of Uttar Pradesh,"D Desai, V B Eradi","17 February, 1982"," AIR 1983 SC 293, 1982 (1) SCALE 540, (1982) 2 SCC 400, 1982 (14) UJ 289 SC",Section 34 in The Indian Penal Code ; Section 323 in The Indian Penal Code ; Section 32 in The Indian Penal Code ; Section 302 in The Indian Penal Code ; ,0,{}
925,Om Parkash Saluja vs Smt. Saraswati Devi,"D Desai, V B Eradi","8 February, 1982"," AIR 1982 SC 1599, (1983) 2 SCC 471",,0,{}
926,Vinod Trading Company vs Union Of India (Uoi) And Ors.,"A Sen, V Tulzapurkar","22 February, 1982"," 1982 (1) SCALE 539, (1982) 2 SCC 40",,0,{}
927,Amitabh Shrivastava vs State Of Madhya Pradesh & Ors,"Varadarajan, A. (J)","4 February, 1982"," 1982 AIR  827, 1982 SCR  (3) 186",Article 14 in The Constitution Of India 1949 ; Article 226 in The Constitution Of India 1949 ; ,1,{}
928,Smt. Kalloo & Ors vs Dhakadevi & Ors,"Islam, Baharul (J)","9 February, 1982"," 1982 AIR  813, 1982 SCR  (3) 201",,0,{'e- h] konchada ramamurthy subudhi & anr. v. gopinath naik ': 1.0}
929,Sat Pal Gupta & Anr vs State Of Haryana & Anr,"Chandrachud, Y.V. ((Cj)","5 February, 1982"," 1982 AIR  798, 1982 SCR  (3) 196",Article 226 in The Constitution Of India 1949 ; ,0,{'the state of bombay v. virkumar gulabchand shah ': 1.0}
930,"Munna Tuin vs District Magistrate, Lucknow And ...","A Varadarajan, E Venkataramiah, S M Ali","2 February, 1982"," AIR 1982 SC 878, 1982 CRILJ 630, (1982) 3 SCC 320",,0,{}
931,Bhure Khan vs State Of Madhya Pradesh,"A Sen, V Tulzapurkar","12 February, 1982"," 1982 CRILJ 818, (1982) 2 SCC 445",Section 397 in The Indian Penal Code ; ,1,{}
932,Ram Pyare Chaudhary & Anr vs State Of Uttar Pradesh & Ors,"Desai, D.A.","11 February, 1982"," 1982 AIR  831, 1982 SCR  (3) 207",Article 226 in The Constitution Of India 1949 ; ,1,{}
933,Government Of Andhra Pradesh vs Thummala Krishna Rao & Anr,"Chandrachud, Y.V. ((Cj)","16 March, 1982"," 1982 AIR 1081, 1982 SCR  (3) 500","Section 6 in The Land Acquisition Act, 1894 ; Section 3 in The Land Acquisition Act, 1894 ; Section 2 in The Land Acquisition Act, 1894 ; Article 226 in The Constitution Of India 1949 ; Section 7 in The Land Acquisition Act, 1894 ; ",1,{'meherunnissa begum v. state of a.p ': 1.0}
934,State Of Uttar Pradesh And Ors. vs Vijay Bahadur Singh And Ors.,"O C Reddy, R Misra","23 March, 1982"," AIR 1982 SC 1234, 1982 (1) SCALE 402 A, (1982) 2 SCC 365, 1982 (14) UJ 307 SC",,1,{}
935,V.T. Khanzode & Ors vs Reserve Bank Of India & Anr,"Chandrachud, Y.V. ((Cj)","5 March, 1982"," 1982 AIR  917, 1982 SCR  (3) 411","Section 58 in The Reserve Bank of India Act, 1934 ; Section 7 in The Reserve Bank of India Act, 1934 ; Article 32 in The Constitution Of India 1949 ; ",0,"{'d-f] reserve bank of india v. n. c. paliwal ': 0.8, 'a] sukhdev singh v. bhagatram ': 0.8, 't. cajee v. u. jormanik siom ': 0.8, 'b.n. nagarajan v. state of mysore ': 0.8, 'om parkash v. union of india ': 1.0, 'reserve bank of india v. n.c. paliwal ': 1.0, 'r.m. joshi v. the reserve bank of india, civil writ no ': 1.0, 'reserve bank employees association v. union of india ': 1.0, 'in t. cajee v. u. jormanik siem ': 1.0, 'in b.n. nagarajan v. state of mysore ': 1.0, 'in reserve bank of india v. n.c. paliwal ': 1.0}"
936,Wing Commander J. Kumar vs Union Of India And Others,"Eradi, V. Balakrishna (J)","5 March, 1982"," 1982 AIR 1064, 1982 SCR  (3) 453",Article 309 in The Constitution Of India 1949 ; Article 16 in The Constitution Of India 1949 ; ,0,{'e] r.s. makashi & ors. v. i.m. menon & ors ': 1.0}
937,Vijay Kumar vs State Of J & K & Others,"Desai, D.A.","17 March, 1982"," 1982 AIR 1023, 1982 SCR  (3) 522","Article 32 in The Constitution Of India 1949 ; Section 3 in The Jammu And Kashmir (Extension Of Laws) Act, 1956 ; Article 22 in The Constitution Of India 1949 ; ",0,{}
938,Mrs Saraswathi Seshagiri vs State Of Kerala And Anr.,"O C Reddy, R Misra","26 March, 1982"," AIR 1982 SC 1165, 1983 54 COMPCAS 394 SC, 1982 (1) SCALE 274, (1982) 2 SCC 310, 1982 (14) UJ 419 SC",,0,"{'debu mahto v. the state of west bengal ': 1.0, 'smt. hemlata kantilal shah v. state of maharashtra and anr. that ': 1.0}"
939,Om Prakash Gupta Etc vs Dig Vijendrapal Gupta Etc,"Misra, R.B. (J)","5 March, 1982"," 1982 AIR 1230, 1982 SCR  (3) 491","Section 2 in The Election Laws (Amendment) Act, 2003 ; Section 25 in The Provincial Small Cause Courts Act, 1887 ; ",0,"{'g] rattan lal shinghal v. smt. murti devi ': 1.0, 'ram saroop rai v. lilavati ': 1.0}"
940,Nagesh Bisto Desai Etc. Etc vs Khando Tirmal Desai Etc. Etc,"Sen, A.P. (J)","2 March, 1982"," 1982 AIR  887, 1982 SCR  (3) 341","Section 4 in The Code Of Criminal Procedure, 1973 ; Section 3 in The Code Of Criminal Procedure, 1973 ; ",0,"{'c-d] martand rao v. malhar rao ': 0.8, 'shiba prasad singh v. rani prayag kumari debi ': 0.8, 'collector of gorakhpur v. ram sunder mal ': 0.8, 'cit v. dewan bahadur dewan krishna kishore ': 0.8, 'anant bhikappa patil v. shankar ramchandra patil ': 0.8, 'chinnathayi v. kulasekara pandiya naicker ': 0.8, 'mirza raja shri pushavathi viziaram gajapathi raj manne sultan bahadur v. shri pushavathi visweswar gajapathi raj ': 0.8, 'rajah velugoti kumara krishna yachendra varu v. rajah velugoti sarvagna kumara krishna yachendra varu ': 0.8, 'raja ram rao v. raja of pittapur ': 0.8, 'baijnath prasad singh v. tej bali singh ': 0.8, 'bhaiya ramanuj pratap deo v. lalu maheshanuj pratap deo ': 0.8, 'f] vijyasingrao balasaheb shinde desai v. janardanrao narayanrao shinde desai ': 0.8, 'kadappo bapurao desai v. krishtappa bachappa desai ': 1.0, 'laxmibai sadashiv date v. ganesh shankar date ': 1.0, 'tarabai sriniwas naik guttal v. murtacharya anantacharya ': 1.0, 'd-f] collector of south satara v. laxman mahadev deshpande ': 1.0, 'bachharam datta patil v. vishwanath pundalik patil ': 1.0, 'b] laxmibai sadashiv date v. ganesh shankar date ': 1.0, 'dhondi vithoba koli v. mahadeo dagdu koli ': 1.0, 'kalgonda babgonda patil v. balgonda kalgonda patil ': 1.0, 'in martand rao v. malhar rao ': 1.0, 'shiba prasad singh v. rani prayag kumari debi & ors ': 1.0, 'collector of gorakhpur v. ram sundar mal & ors ': 1.0, 'chinnathavi alias veeralakshmi v. kulasekara pandiya naicker & anr ': 1.0, 'mirza raja shri pushavathi viziaram gajapathi raj manne sultan bahadur & ors. v. shri pushavathi viseswar gajapathi raj & ors ': 1.0, 'rajah velugoti kumara krishna yachendra varu & ors. v. rajah velugoti sarvagna kumara krishna yachendra varu & ors ': 1.0, 'bhaiya ramanuj pratap deo v. lalu maheshanuj pratap deo & ors ': 1.0, 'in collector of gorakhpur v. ram sundar mal ': 1.0, 'in commissioner of income tax, punjab v. krishna kishore ': 1.0, 'vijayasingrao bala saheb shinde desai v. janardanrao narayanrao shinde desai ': 1.0, 'in kadappa v. krishtappa ': 1.0, 'in smt. tarabai v. murtacharya ': 1.0, 'the collector of south satara & anr. v. laxman mahadev deshpande & ors ': 1.0, 'dhondi vithoba v. mahadeo dagdu ': 1.0, 'in kalgonda babgonda v. balgonda ': 1.0}"
941,State Of Andhra Pradesh vs Mohd Ashrafuddin,"Misra, R.B. (J)","5 March, 1982"," 1982 AIR  913, 1982 SCR  (3) 482","Section 12 in The Transfer of Property Act, 1882 ; Section 10 in The Transfer of Property Act, 1882 ; Section 3 in The Transfer of Property Act, 1882 ; Section 8 in The Transfer of Property Act, 1882 ; ",0,{}
942,Dr. B.L. Asawa vs State Of Rajasthan & Ors,"Eradi, V. Balakrishna (J)","5 March, 1982"," 1982 AIR  933, 1982 SCR  (3) 444",Article 226 in The Constitution Of India 1949 ; ,0,{}
943,"Devji Vallabhbhai Tandel Etc vs The Administrator Of Goa, Daman & ...","Islam, Baharul (J)","29 March, 1982"," 1982 AIR 1029, 1982 SCR  (3) 553",Article 22 in The Constitution Of India 1949 ; ,0,"{'a-c] francis coralie mullin v. the administrator union territory of delhi ors ': 0.8, 'shamsher singh anr. v. state of punjab ': 0.8, 'union of india v. j.p. mitter ': 0.8, 'the state bombay v. atma ram sridhar vaidya ': 1.0, 'smt. hemlata kantilal shah v. the state of maharashtra & anr ': 1.0, 'a.k roy v. union of india ': 1.0, 'francis coralie mullin v. the administrator, union territory of delhi & ors., in ': 1.0, 'sampat prakash v. state of jammu & kashmir ': 1.0}"
944,Sukhnandan Saran Dinesh Kumar & ... vs Union Of India & Another Etc. Etc,"Desai, D.A.","3 March, 1982"," 1982 AIR  902, 1982 SCR  (3) 371",Article 19 in The Constitution Of India 1949 ; Article 32 in The Constitution Of India 1949 ; article 19 g ; ,0,"{'saghir ahmad v. the state of u.p. & ors ': 0.8, 'khyerbari tea co. ltd. & anr. v. the state of assam ': 0.8, 'vrajlal manilal & co. and ors. v. state of madhya pradesh & ors ': 1.0, 'in ch. tika ramji & ors. v. the state of uttar pradesh & ors ': 1.0, 'm/s. fedco (p) ltd. v. s.n. bilgrami ': 1.0}"
945,State Of Maharashtra vs Raj Kumar,"A Sen, E Venkataramiah, S M Ali","30 March, 1982"," AIR 1982 SC 1301, 1982 LABLC 1597, (1982) 3 SCC 313, 1982 (2) SLJ 549 SC",Article 14 in The Constitution Of India 1949 ; ,0,{}
946,A.K.M. Hassan Uzzaman & Ors vs Union Of India,"Y.V. Chandrachud Cj, D.A. Desai, A.P. Sen, E.S. Venkataramiah, B. Islam","30 March, 1982",,"Article 226 in The Constitution Of India 1949 ; Section 23 in The Representation of the People Act, 1951 ; ",0,{}
947,Ram Karan & Ors vs State Of Uttar Pradesh,"Fazalali, Syed Murtaza","4 March, 1982"," 1982 AIR 1185, 1982 SCR  (3) 395",Section 34 in The Indian Penal Code ; Section 302 in The Indian Penal Code ; Section 307 in The Indian Penal Code ; Section 304 in The Indian Penal Code ; ,1,{}
948,Bhopal Sugar Industries Ltd vs State Of M.P. & Others,"Tulzapurkar, V.D.","23 March, 1982"," 1982 AIR 1012, 1982 SCR  (3) 543","Section 21 in The Hire-Purchase Act, 1972 ; Section 6 in The Hire-Purchase Act, 1972 ; Section 15 in The Hire-Purchase Act, 1972 ; ",0,"{'c-d] jaora sugar mills (p) ltd. v. state of madhya pradesh and ors ': 1.0, 'jaora sugar mills (p) ltd. v. state of madhya pradesh and others ': 1.0}"
949,State Of Bihar vs Dr. Yogendra Singh Col. (Retd.) ...,"Bhagwati, P.N.","1 March, 1982"," 1982 AIR  882, 1982 SCR  (3) 332","Section 6 in The State Financial Corporations (Appeal to the Central Government) Rules, 2003 ; Section 3 in The State Financial Corporations (Appeal to the Central Government) Rules, 2003 ; Section 4 in The State Financial Corporations (Appeal to the Central Government) Rules, 2003 ; ",0,{}
950,Anil Kumar Chakraborty And Anr. vs Saraswatipur Tea Company Limited ...,"A Varadarajan, B Islam, V Tulzapurkar","16 March, 1982"," AIR 1982 SC 1062, 1982 (45) FLR 71, (1982) ILLJ 483 SC, 1982 (1) SCALE 400, (1982) 2 SCC 328, 1982 (1) SLJ 695 SC, 1982 (14) UJ 229 SC",,0,{'ruby general insurance co. v. chopra ': 1.0}
951,P.P. Enterprises And Ors. vs Union Of India (Uoi) And Ors.,"R Mishra, S M Ali","16 March, 1982"," AIR 1982 SC 1016, 1982 (1) SCALE 184, (1982) 2 SCC 33, 1982 3 SCR 510, 1982 (14) UJ 236 SC",Article 14 in The Constitution Of India 1949 ; ,0,"{'state of mysore v. h. sanjeeviah ': 1.0, 'laxmi khandsari and ors. v. state of up. and ors ': 1.0}"
952,Kannan And Anr. vs State Of Tamil Nadu,"O C Reddy, R Misra","24 March, 1982"," AIR 1982 SC 1192, 1982 CRILJ 1570, 1982 (1) SCALE 402, (1982) 2 SCC 350, 1982 (14) UJ 425 SC",,0,{}
953,Anil Yadav & Ors vs State Of Bihar & Anr,"Chandrachud, Y.V. ((Cj)","23 March, 1982"," 1982 AIR 1008, 1982 SCR  (3) 533",Article 32 in The Constitution Of India 1949 ; ,0,{}
954,Thakur Narain Singh vs State Of Rajasthan,"Misra, R.B. (J)","5 March, 1982"," 1982 AIR  979, 1982 SCR  (3) 474",,1,{}
955,P.P. Entterprises Etc. Etc vs Union Of India & Others Etc,"Misra, R.B. (J)","16 March, 1982"," 1982 AIR 1016, 1982 SCR  (3) 510",Article 14 in The Constitution Of India 1949 ; Article 19 in The Constitution Of India 1949 ; article 19 g ; ,1,"{'b-d] state of mysore v. h. sanjeeviah ': 0.8, 'm/s. laxmi khandsari & ors. v. state of u.p. & ors ': 0.8, 'state of mysore v. h ': 1.0, 'in m/s. laxmi khandsari & ors. v. state of u.p. & ors ': 1.0}"
956,Ramanand Singh vs State Of Bihar And Anr.,"A Sen, B Islam, D Desai","15 March, 1982"," AIR 1982 SC 1394, 1982 (30) BLJR 438, 1982 (45) FLR 395, 1982 (1) SCALE 214, (1984) 2 SCC 447, 1982 (14) UJ 264 SC",Article 311 in The Constitution Of India 1949 ; ,1,{}
957,G.M. Morey vs Government Of Andhra Pradesh And ...,"O C Reddy, R Misra","26 March, 1982"," AIR 1982 SC 1163, 1982 CRILJ 1249, 1982 (1) SCALE 272, (1982) 2 SCC 433, 1982 (14) UJ 422 SC",Section 402 in The Indian Penal Code ; Section 359 in The Indian Penal Code ; Section 377 in The Indian Penal Code ; ,0,{'maru ram v. union of india ': 1.0}
958,"Controller Of Estate Duty, Bihar vs Mahant Umesh Narain Puri (Dead) ...","A N Sen, R Pathak, V Tulzapurkar","17 March, 1982"," AIR 1982 SC 1153, 1982 135 ITR 139 SC, 1982 (1) SCALE 395, (1982) 2 SCC 303, 1982 (14) UJ 231 SC","Section 7 in The Estate Duty Act, 1953 ; Section 6 in The Estate Duty Act, 1953 ; ",1,"{'karnani properties ltd. v. commissioner of income tax, west bengal ': 1.0, 'commissioner of income tax, poona v. manna ramji & co. we ': 1.0}"
959,"Anil Yadav And Ors. vs State Of Bihar And Bachcho Lal Das, ...","Y Chandrachud, A.N.Sen, A Varadarajan","23 March, 1982"," AIR 1982 SC 1008, 1982 (30) BLJR 287, 1982 CRILJ 982, 1982 (1) SCALE 278, (1982) 2 SCC 195, 1982 3 SCR 533, 1982 (14) UJ 301 SC",,0,{}
960,Union Of India (Uoi) vs V.B. Raju,"O C Reddy, R Misra","29 March, 1982"," AIR 1982 SC 1174, 1982 (45) FLR 328, 1982 LABLC 1487, 1982 (1) SCALE 238, (1982) 2 SCC 326, 1982 (1) SLJ 602 SC, 1982 (14) UJ 312 SC","Section 15 in The High Court Judges (Conditions Of Service) Act, 1954 ; ",0,"{'j.d. kapadia v. union of india ': 1.0, 'v.b. raju v. state of gujarat in ': 1.0, 'garikapatti veeraya v. n. subbiah choudhary ': 1.0}"
961,Gambhir vs State Of Maharashtra,"O C Reddy, R Misra","15 April, 1982"," AIR 1982 SC 1157, 1982 CRILJ 1243, 1982 (1) SCALE 388, (1982) 2 SCC 351, 1982 (14) UJ 475 SC",Section 302 in The Indian Penal Code ; ,0,{}
962,K. Rajendran & Ors. Etc. Etc vs State Of Tamil Nadu & Ors,"Venkataramiah, E.S. (J)","15 April, 1982"," 1982 AIR 1107, 1982 SCR  (3) 628",Article 14 in The Constitution Of India 1949 ; Article 309 in The Constitution Of India 1949 ; Article 311 in The Constitution Of India 1949 ; 'article 309 ORR army rules 1954' ; article 311 of constitution ; ,0,"{'gazula dasaratha rama rao v. the state of andhra pradesh & ors ': 0.8, 'c] fertilizer corporation kamgar union (regd) sindri & ors. v. union of india & ors ': 0.8, 'e] parashotam lal dhingra v. union of india ': 0.8, 'c-d] state of mysore v. h. papanna gowda & anr ': 0.8, 'a)) m. ramanatha pillai v. the state of kerala anr ': 0.8, 'champaklal chimanlal shah v. the union of india ': 0.8, 'satish chandra anand v. the union of india ': 0.8, 'shyam lal v. state of u.p. and union of india ': 1.0, 'state of haryana v. des raj sangar of anr ': 1.0, 'c] r. shankaranarayana & ors. v. the state of mysore & ors ': 1.0, 'b.h. honnalige gowda v. state of mysore & anr ': 1.0, 'in m. ramappa v. sangappa & ors ': 1.0, 'in gazula dasaratha rama rao v. the state of andhra pradesh & ors ': 1.0, 'fertilizer corporation kamgar union (regd), sindri & ors. v. union of india & ors ': 1.0, 'p.v. naik & ors. v. state of maharashtra & anr ': 1.0, 'state of haryana v. des raj sangar & anr ': 1.0, 'b.r. shankaranarayana and ors. v. the state of mysore and ors ': 1.0, 'b.h. honnalige gowda v. state of mysore and anr ': 1.0}"
963,Umesh Chandra vs State Of Rajasthan,"Fazalali, Syed Murtaza","2 April, 1982"," 1982 AIR 1057, 1982 SCR  (3) 583","Section 35 in The Indian Evidence Act, 1872 ; Section 26 in The Children Act, 1960 ; ",0,"{'c] mohd. ikram hussain v. state of u.p ': 0.8, 'h] m/s. gannon dunkerlay & co. ltd. v. their workmen ': 0.8, 'in m/s. gannon dunkerlay & co. ltd. v. their workmen ': 1.0, 'mohd. ikram hussain v. state of u.p. & ors. (supra ': 1.0}"
964,O. N. Bhatnagar vs Smt. Rukibai Narsindas & Ors,"Sen, A.P. (J)","21 April, 1982"," 1982 AIR 1097, 1982 SCR  (3) 681","Section 28 in The Delhi Rent Act, 1995 ; Section 5 in The Delhi Rent Act, 1995 ; ",0,"{'cooperative bank ltd. v. m/s. dalichand jugraj jain & ors ': 0.8, 'b-d] sabharwal brothers and another v. smt. guna amrit thandani of bombay ': 0.8, 'in deccan merchants cooperative bank ltd. v. m/s. dalichand jugraj jain & ors ': 1.0, 'sabharwal brothers & anr. v. smt. guna amrit thandani of bombay ': 1.0}"
965,Mahabir Prasad Verma vs Dr. Surinder Kaur,"Sen, Amarendra Nath (J)","7 April, 1982"," 1982 AIR 1043, 1982 SCR  (3) 607","Section 2 in The Andhra Pradesh Legislative Council Act, 2005 ; ",1,"{'in kartar singh & others v. tarlok singh & others pandit, j ': 0.8, 'v. dhanapal chettiar v. yesodai ammal ': 0.8, 'damadilal and others v. parashram and others ': 0.8, 's. pratap singh v. the state of punjab ': 1.0, 'kartar singh and others v. tarlok singh and others ': 1.0, 'anand nivas (p) ltd. v. anandji kalyanji pedhi & ors ': 1.0}"
966,Baldev Sahai Bangia vs R.C. Bhasin,"Fazalali, Syed Murtaza","16 April, 1982"," 1982 AIR 1091, 1982 SCR  (3) 670","Section 14 in The Delhi Rent Act, 1995 ; Section 2 in The Delhi Rent Act, 1995 ; section 14 filter: delhi rent control act ; ",1,"{'govind dass and ors. v. kuldip singh ': 1.0, 'hira lal and ors. v. banarsi dass ': 1.0, 'in hira lal & ors. v. banarsi dass ': 1.0}"
967,"Commissioner Of Income Tax, West ... vs Pigot Champan & Company","A N Sen, R Pathak, V Tulzapurkar","13 April, 1982"," AIR 1982 SC 1085, 1982 135 ITR 620 SC, 1982 (1) SCALE 371, (1982) 2 SCC 330, 1982 (14) UJ 359 SC","Section 25 in The Income- Tax Act, 1995 ; Section 43 in The Income- Tax Act, 1995 ; Section 40 in The Indian Partnership Act, 1932 ; Section 44 in The Income- Tax Act, 1995 ; ",0,{'commissioner of income-tax v. a.w. figgies & company and ors ': 1.0}
968,Youssuf Abbas S/O Ahmad Abbas vs Union Of India (Uoi) And Ors.,"O C Reddy, R Misra","23 April, 1982"," AIR 1982 SC 1170, 1982 (1) SCALE 446, (1982) 2 SCC 380, 1982 (14) UJ 392 SC",Article 32 in The Constitution Of India 1949 ; Article 136 in The Constitution Of India 1949 ; ,0,{}
969,Hanumant Dass vs Vinay Kumar & Ors,"Misra, R.B. (J)","5 April, 1982"," 1982 AIR 1052, 1982 SCR  (3) 595","Section 385 in The Code Of Criminal Procedure, 1973 ; ",0,"{'union of india vs v. sriharan @ ,murugan & ors on 2 december, 2015 ': 1.0, 'c-d] state of madhya pradesh v. ratan sing & ors ': 1.0, 'state of madhya pradesh v. ratan singh & ors ': 1.0}"
970,Ashok Kumar vs Delhi Administration & Ors,"Sen, A.P. (J)","5 May, 1982"," 1982 AIR 1143, 1982 SCR  (3) 707","Section 3 in The National Security Act, 1980 ; Section 8 in The National Security Act, 1980 ; Section 13 in The National Security Act, 1980 ; Article 32 in The Constitution Of India 1949 ; ",0,{'in a.k. roy v. union of india ': 1.0}
971,People'S Union For Democratic ... vs Union Of India (Uoi) And Ors.,"P Bhagwati, B Islam","11 May, 1982"," AIR 1982 SC 1473 B, 1982 (30) BLJR 401, 1982 (45) FLR 140, 1982 (1) SCALE 817, (1982) 2 SCC 494, 1982 (14) UJ 553 SC","Section 5 in The Equal Remuneration Act, 1976 ; Section 19 in the Contract Labour (Regulation and Abolition) Act, 1970 ; Section 16 in the Contract Labour (Regulation and Abolition) Act, 1970 ; Section 17 in the Contract Labour (Regulation and Abolition) Act, 1970 ; ",0,{}
972,Sardar Govindrao & Ors vs State Of Madhya Pradesh & Ors,"Sen, A.P. (J)","7 May, 1982"," 1982 AIR 1201, 1982 SCR  (3) 729",Article 3 in The Constitution Of India 1949 ; ,0,"{'a-c] vajesingji joravarsingji & ors. v. secretary of state ': 0.8, 'bir bikram deo v. secretary of state ': 0.8, 'martand rao v. malhar rao, l.r ': 0.8, 'sardar govindrao & ors. v. the state of madhya pradesh ': 1.0, 'in vajesingji joravarsingji & ors. v. secretary of state ': 1.0, 'cook v. sprigg l.r ': 1.0, 'in bir bikram deo v. secretary of state ': 1.0, 'in martand rao v. malhar rao ': 1.0}"
973,Mrs. Veena Sethi vs State Of Bihar And Ors.,"D Desai, P Bhagwati","11 May, 1982"," AIR 1983 SC 339, 1983 CRILJ 675, 1982 (1) SCALE 793, (1982) 2 SCC 583, 1982 (14) UJ 543 SC","Section 302 in The Indian Penal Code ; Section 309 in The Indian Penal Code ; Section 428 in The Code Of Criminal Procedure, 1973 ; ",0,{}
